chain,chain_index,sample,score
ARXNAMVZPE,0 17 23 13 0 12 21 25 15 4,-0.9343571655988812 0.34346219568364145 0.8430822328297201 0.056751944367601226 -0.9698471172296299 -0.0520240100783278 0.6724046996021027 0.9441514282638315 0.2291425836248886 -0.6904799920716695,3.7405828374762042
XHEYDHQJMD,23 7 4 24 3 7 16 9 12 3,0.8340093194485023 -0.39841665834642814 -0.6244817359998962 0.8543074973890328 -0.7377830221913126 -0.4541126932216244 0.28690642784546827 -0.2320831616861747 -0.03054551399237515 -0.7012469196826951,3.9890835436992274
DTQEUJWJHX,3 19 16 4 20 9 22 9 7 23,-0.7241592594453565 0.4902346007561409 0.27712262196370174 -0.623294503017183 0.5501462025766397 -0.24114858344090218 0.71140692271687 -0.3055221378258781 -0.40351152279993396 0.7885523888381156,4.12176264005921
MOBDMLKDDC,12 14 1 3 12 11 10 3 3 2,-0.015989452949621175 0.1221169350272191 -0.8597428579499726 -0.7510488409547831 -0.03554638746139105 -0.1270032399586778 -0.20805077597427446 -0.6964017918549077 -0.7415582746743878 -0.7693983987892792,3.29914621040604
QQPTVCTRBA,16 16 15 19 21 2 19 17 1 0,0.23914304224345329 0.24756438808572656 0.21472616237966213 0.5209199475621027 0.6765569832298741 -0.7887241927103719 0.4775443828233752 0.37749191849074637 -0.8982940365089946 -0.9625368958587044,4.064925721714651
BBBYRHEXUZ,1 1 1 24 17 7 4 23 20 25,-0.8557456093518099 -0.8893613977163366 -0.8841451382138747 0.8924639589027514 0.32164048903592546 -0.45790469530330147 -0.6646738482915735 0.7889943302216547 0.599070502632524 0.9654646196408936,4.386064916687161
YKFBCQSOHT,24 10 5 1 2 16 18 14 7 19,0.8683261661594659 -0.21990774464988005 -0.5947243622863032 -0.8507297992595928 -0.7765509946543536 0.2774541776379611 0.40525267139216803 0.13546373139422752 -0.4149672590429603 0.5339943715210009,3.986891986615174
HNPRFNXZKC,7 13 15 17 5 13 23 25 10 2,-0.4323620220043707 0.05281208357765843 0.20377492590620006 0.3745755096564565 -0.5435619112576637 0.06695273455869177 0.8077100770519692 0.9445706330860171 -0.16332697249945594 -0.8057019216906465,3.569890584887148
LLBAOYRQDL,11 11 1 0 14 24 17 16 3 11,-0.11939832024845898 -0.09197687577569558 -0.9079111178422985 -0.9971964252804666 0.13341299437817855 0.9002654260871863 0.3183598085112356 0.23609484408250325 -0.7138901576335321 -0.08776995141291222,3.2235605578839395
AYHAADUVDL,0 24 7 0 0 3 20 21 3 11,-0.9590318200600476 0.9184250673710588 -0.41542604865118515 -0.96628788750061 -0.9877367550207097 -0.7257305732625003 0.60722015878043 0.6790327067197488 -0.7123037705366242 -0.07786571991005165,4.274324896750901
VHRCYXECIZ,21 7 17 2 24 23 4 2 8 25,0.6566841019848535 -0.3972565273702491 0.3251160835164153 -0.8179861509162951 0.8688276798991494 0.8004371172110589 -0.6198158938540115 -0.8435183695844786 -0.33377436031232843 0.9781153663999811,4.345723444509584
XWAELANXAL,23 22 0 4 11 0 13 23 0 11,0.7800141063719419 0.7392781646417261 -0.9625949326798375 -0.6173779487382143 -0.09962329611346821 -0.9438005250517094 0.040697069003401865 0.8078795200082656 -0.9985341081772736 -0.08519084716995473,3.6649161823395997
DXOKKZMLES,3 23 14 10 10 25 12 11 4 18,-0.6970813472986312 0.8056858940570168 0.09865217383479674 -0.16597760012896323 -0.16195949289906553 0.9326737089880319 -0.016281422432918413 -0.11939590607946848 -0.6410406808381137 0.4578682432212009,3.3571713558249248
URIVQAFMOF,20 17 8 21 16 0 5 12 14 5,0.5779022249561239 0.3125146609430458 -0.33847175231734195 0.6263924951749433 0.2963402785893843 -0.9342747767275501 -0.6001798235266971 -0.008764073878407164 0.12991411548658993 -0.6120884461218865,3.836048754792771
DKRGTIXZSO,3 10 17 6 19 8 23 25 18 14,-0.7540466186926094 -0.21533653901061922 0.3291863544913678 -0.5327985702240701 0.478393033176701 -0.3134275246147431 0.7820291479427703 0.9513643547373405 0.4007039071223355 0.0875131028025633,3.930248764432115
EHLPMYFWWB,4 7 11 15 12 24 5 22 22 1,-0.6872805543028766 -0.3990797536122248 -0.1254203161945957 0.17989883615428615 -0.037497251197929016 0.8649284118882399 -0.6031597572177017 0.7526354770721371 0.7374428911415944 -0.8840996189008656,3.847358678239648
HMJPSAYTSX,7 12 9 15 18 0 24 19 18 23,-0.41316867567057836 -0.04891827921633474 -0.26750615191519556 0.17492285004555663 0.43089395423005716 -0.9826411210800605 0.8618260122080943 0.4830832871913022 0.4048089788138558 0.8161558392379891,3.891787852326978
RWPCCACIGH,17 22 15 2 2 0 2 8 6 7,0.3288616476870012 0.7668542773726796 0.19268587430742823 -0.7803012286027096 -0.8348378007083546 -0.9572530017063465 -0.8228290573436761 -0.3419265361985606 -0.4737273653524259 -0.461506212976017,4.186920414036322
HHSAWEVHAZ,7 7 18 0 22 4 21 7 0 25,-0.4148842641279462 -0.39443896727673877 0.4280355736403205 -0.9980433343912303 0.7339050356874643 -0.6905739962662316 0.6604133919055404 -0.4139589330185509 -0.9783032593530132 0.9823830506595463,4.5009753205206415
MXKYFPSRJN,12 23 10 24 5 15 18 17 9 13,-0.03670309124010118 0.7986753443969243 -0.1668672404787399 0.921755430828485 -0.5834713977644033 0.16532530874739337 0.42211215658896584 0.3372792215569882 -0.26785196724688154 0.047263689875816084,3.3388636161287235
FAFMOWZVPG,5 0 5 12 14 22 25 21 15 6,-0.5417452990608242 -0.9638553344902259 -0.5956688217080655 -0.019650365008951454 0.13691232360419914 0.7113869313910417 0.9498120051929364 0.6593292406438629 0.1921107458835407 -0.5160573416880634,3.984881147044565
BLHSBLLMQN,1 11 7 18 1 11 11 12 16 13,-0.8620668168835546 -0.08801362160966741 -0.45644390742988894 0.400563522678121 -0.8815096937001159 -0.0812524065287763 -0.11693420170157287 -0.05119775906019397 0.2885388997878402 0.07315674914794812,2.988072786321997
LQLEAAOLBU,11 16 11 4 0 0 14 11 1 20,-0.13931611427786894 0.2514994899348064 -0.0779793856273483 -0.6692640661867062 -0.9835883324250889 -0.9344546928897306 0.08954327933873052 -0.09888562382361044 -0.8659751457579985 0.5785284531736994,3.3938901447779632
LPBSGVHXUF,11 15 1 18 6 21 7 23 20 5,-0.0774063255064863 0.21393142050008085 -0.8505098932885067 0.4236382261961582 -0.5124636190274812 0.660966893821048 -0.392406886520287 0.7849403159466193 0.6064735704209607 -0.6099262633118145,4.093040638635273
PLRRKQRIGX,15 11 17 17 10 16 17 8 6 23,0.1804742248966298 -0.10849111942588774 0.3763504558225701 0.37838466948916083 -0.16804258927902138 0.24091617207915816 0.38135734776404684 -0.349911264838245 -0.4619695398511523 0.811030689987783,3.3831105456897004
YFJRRNVKKF,24 5 9 17 17 13 21 10 10 5,0.8877885910787953 -0.5461152571873582 -0.2384707773938739 0.3165930981946681 0.34832677918875055 0.013144973144674 0.6711111962976126 -0.16162560671745863 -0.22196670981163824 -0.5441328758266988,3.585369380433836
IAMTQQQJJG,8 0 12 19 16 16 16 9 9 6,-0.33297006347357705 -0.9899723114306302 -0.05624936999585595 0.5096396602286828 0.2683406293960451 0.2531745917006789 0.3006123451617293 -0.30127048342313123 -0.2562788473072921 -0.52503120858941,3.5609204016802676
YBFFRYYZAI,24 1 5 5 17 24 24 25 0 8,0.8785306610768386 -0.9010694357501763 -0.5987382476619232 -0.599012091250505 0.3227015200084651 0.9176299015229386 0.8645210837575772 0.9529104763840965 -0.9299371890561778 -0.3194136247111019,4.283835757644944
QXFGVIRLWL,16 23 5 6 21 8 17 11 22 11,0.2939315072735853 0.7853431086163343 -0.5862182267663079 -0.49228501241809464 0.6829647723432684 -0.35695676520535935 0.3591552042736865 -0.09880312310029749 0.7064045186198762 -0.13704849761926274,3.8474430959408292
MPHUUPVJZM,12 15 7 20 20 15 21 9 25 12,-0.0111254748577434 0.16393583986585458 -0.43220672963293594 0.5985548378982435 0.5680663694262047 0.22603839567308248 0.6512689531706797 -0.2639620131586642 0.9621039299520178 -0.021854881756123934,3.5396209359974162
OIWRJHBIKJ,14 8 22 17 9 7 1 8 10 9,0.08996095938411863 -0.33494690734209387 0.6975062701655474 0.3795351055399141 -0.27781934104542416 -0.38926912396067004 -0.877954119924603 -0.31155370195421384 -0.17859048587411452 -0.2634195094961316,3.500258297684699
PGKRPOJQFA,15 6 10 17 15 14 9 16 5 0,0.20510338684183815 -0.46722896279551707 -0.17328673050486776 0.3204481715158807 0.21252126859128695 0.08154727414517593 -0.23254394769138043 0.27588751533058775 -0.6113871501110417 -0.9609595898180481,3.3153032801963254
XQYOXYLOZI,23 16 24 14 23 24 11 14 25 8,0.825103396018096 0.2612720493579961 0.8669744113961171 0.08494179842663274 0.8264290167874777 0.8922558962873819 -0.13610231428519914 0.07767237977645314 0.9801410111712494 -0.3134059740721127,3.4151867200310275
YSNWVAIJLA,24 18 13 22 21 0 8 9 11 0,0.8952760223266778 0.42837403251589756 0.0047582538386654605 0.7138446973990586 0.620679300987393 -0.9789418441987232 -0.37142669346711843 -0.23174426106450152 -0.12801790104656652 -0.9900794724552469,3.8750561252467475
HTYJFZLNXY,7 19 24 9 5 25 11 13 23 24,-0.4037016225328691 0.5205442460505205 0.8627662006972769 -0.2899293829508982 -0.5424968342872474 0.9319868687420403 -0.0999342705499564 0.017300058083535408 0.7994370530836699 0.8755177126828984,3.9050904740287398
YSRNHQHDJW,24 18 17 13 7 16 7 3 9 22,0.8882824721480893 0.38770870381885714 0.3360374992026891 0.03818389543365086 -0.4155068297836022 0.28760168055577995 -0.4328816398679467 -0.7206886554754837 -0.2632269167968806 0.7348475084702328,3.8401761045058262
RTMGHQFTDO,17 19 12 6 7 16 5 19 3 14,0.35086617709813894 0.5143329296311401 -0.07332541841370466 -0.46385573404106384 -0.42416516716774844 0.28195328585223134 -0.6016160850866845 0.5351238834313412 -0.7158912589131741 0.08357884390126724,3.765520334253218
EHPXGBRBCF,4 7 15 23 6 1 17 1 2 5,-0.6675193113073989 -0.4084083205604896 0.18611093280806768 0.7737872271668687 -0.5303483587393367 -0.8618193633368549 0.33008230903830316 -0.8909634974333869 -0.773969920664582 -0.6064755863216209,4.270034224698026
PXBGTNVPCB,15 23 1 6 19 13 21 15 2 1,0.16992168055665546 0.8152994123596184 -0.8682535502149862 -0.47804015572347835 0.48518665309524667 0.05874593050473775 0.6671713944351119 0.21565693457001878 -0.7934997790109781 -0.9044173133994102,3.91291692281013
VOFSJJJEOT,21 14 5 18 9 9 9 4 14 19,0.6732743677857034 0.08129968849520441 -0.5569426262636299 0.44637080495994796 -0.300283158222062 -0.3055617231999941 -0.27175205110360023 -0.6190429541366425 0.08088157427484255 0.4626166742660869,3.6244978549247446
JKRAGXXJSE,9 10 17 0 6 23 23 9 18 4,-0.2957593118173818 -0.1713672415546974 0.3078887527641523 -0.9503446256891417 -0.4826439157564797 0.800496143926253 0.8360678072119594 -0.24266149367935697 0.4153592174028846 -0.6525043156982975,3.977088795511222
WRIGRUNYQB,22 17 8 6 17 20 13 24 16 1,0.7329319441128019 0.3456792868130083 -0.3262429358915686 -0.49206736948486984 0.38441547933479825 0.5946425268463666 0.05501415615435645 0.9175730163594848 0.24718025715416148 -0.896795731739876,3.965778275521473
VLZYVBDIES,21 11 25 24 21 1 3 8 4 18,0.6329140949901244 -0.1020661374839722 0.9351526735780109 0.9073152007252421 0.6893086571330953 -0.9058600503481629 -0.7298905923231793 -0.31223214426657453 -0.6402238376501821 0.41735864386050414,4.226553243316104
CSLNXGWFCN,2 18 11 13 23 6 22 5 2 13,-0.8095389384358018 0.4295590447461435 -0.12152965102241042 0.07599755336815206 0.8280341476931516 -0.4907272998485108 0.7275362237069454 -0.5908377619156042 -0.8391956453141101 0.04899327787144436,3.8008030058264137
CSUMYMSGSK,2 18 20 12 24 12 18 6 18 10,-0.8219519660044494 0.39748424499527313 0.6075152613244537 -0.04098768881747028 0.8570116462898694 -0.03292530862887966 0.3850943610766797 -0.5096040921669176 0.42242957281988147 -0.1647704916650914,3.7080690687895452
PHZGSFHHQM,15 7 25 6 18 5 7 7 16 12,0.22516959078988696 -0.4143294134312101 0.9234655079402219 -0.4669393113419025 0.3883139127054007 -0.5859730766733722 -0.43516608987654415 -0.38865893522767303 0.27060443716174976 -0.04010031004707271,3.788371259980679
VMFVDJJTPO,21 12 5 21 3 9 9 19 15 14,0.649198844585819 -0.016631415060308408 -0.610526364904951 0.6538003775914856 -0.7538954570308523 -0.2805533422704114 -0.303972941129832 0.4980286059665564 0.21284010087114158 0.0907921922601167,3.660545251409584
NREEPJPQPN,13 17 4 4 15 9 15 16 15 13,0.02758169252863052 0.38444958185041433 -0.643107721771794 -0.6270769921107409 0.20659215860164548 -0.24489308257735232 0.20693413379349623 0.28219057379616275 0.22918583543117865 0.04755938084714684,3.0380591899484206
BGCXQBOSHE,1 6 2 23 16 1 14 18 7 4,-0.8628251131230085 -0.495462638099496 -0.8089485213181331 0.8054382543483682 0.28671031812397185 -0.8689245907012393 0.13191978870511467 0.40998221853632066 -0.3848434652007535 -0.6553188487445223,4.129758912857426
ZVOJSTQVEM,25 21 14 9 18 19 16 21 4 12,0.960000241223605 0.6428157226473814 0.09637025031319735 -0.30727590064779076 0.45055230275175506 0.5061541538972725 0.26354393982453783 0.6731860977064654 -0.6648897002972496 -0.04925247485516282,3.8654976337777716
JNLYNKBSFU,9 13 11 24 13 10 1 18 5 20,-0.28134432425473865 0.07328873536468516 -0.12528797875343356 0.918427378672527 0.05267893666867263 -0.2137155296537463 -0.8783126595139497 0.4172974784074408 -0.5977084323387367 0.5538420006503233,3.49121027760884
JJUYBZOOML,9 9 20 24 1 25 14 14 12 11,-0.26237709687869026 -0.2798515688785075 0.5868563217220508 0.8755058452143951 -0.8980196482107117 0.9825075190086252 0.11531790412862608 0.13850939582954003 -0.07080395499192238 -0.1025583387715161,3.25330370956689
XLOFMCYBEN,23 11 14 5 12 2 24 1 4 13,0.7999614852591022 -0.09344503205765409 0.09522140499709075 -0.5910948180152142 -0.050108869471419126 -0.7854342167844353 0.8951824346568065 -0.8531340294840819 -0.617874778914252 0.04918371428450241,3.4839123482776135
DVUWRBOHPX,3 21 20 22 17 1 14 7 15 23,-0.7284479474306158 0.6214797168282002 0.5881811795030294 0.6958479989784854 0.3313184916083449 -0.8873356827728895 0.1483966514357984 -0.4203530255788026 0.2168939583142837 0.8300347540838688,4.101124986396471
PATWUYHMGW,15 0 19 22 20 24 7 12 6 22,0.16196718612597283 -0.9361830619212348 0.5207980666066083 0.742595309986309 0.5396862569702747 0.9008662332452562 -0.38806861567207274 -0.02409055452259068 -0.5095307973027092 0.7015311852257327,4.097071567338283
NQLBVTVADN,13 16 11 1 21 19 21 0 3 13,0.02355679665307142 0.26782779467631634 -0.09370117077585882 -0.9045115320126491 0.6454454401146601 0.5316132132041387 0.6159696414867497 -0.929257438574697 -0.7177348548544902 0.03104821604425001,3.6999726665464405
NXMFXXZEJU,13 23 12 5 23 23 25 4 9 20,0.0210830706528089 0.7955565527815283 -0.00923022827851816 -0.5681450461976718 0.7798099371700371 0.8383260956425986 0.9243048831608431 -0.6762043264990298 -0.28845692277169466 0.5918129259542142,3.9431881228956525
KZOJUDJCQD,10 25 14 9 20 3 9 2 16 3,-0.16264685343449625 0.9298294325985716 0.09325524304690247 -0.28768308185575764 0.5878986023268304 -0.7567953357967736 -0.2888742325550504 -0.8028210305188468 0.2700145214832663 -0.7571441716898912,3.751547331809235
VYGHHRNVFC,21 24 6 7 7 17 13 21 5 2,0.6839318184740335 0.8946614324308975 -0.47177633350107384 -0.41512601616751676 -0.3903423595267257 0.3137909236758567 0.004574217490390442 0.6536015318851189 -0.5719240136702546 -0.8086799316989877,4.134871892480053
HWEYOUHNJJ,7 22 4 24 14 20 7 13 9 9,-0.39087423511159947 0.749219360554741 -0.6841915331423623 0.8461606921085911 0.09366256975612042 0.6005860612936402 -0.4282400280943708 0.033772779013804266 -0.2764785042944442 -0.23984308214265537,3.7118033655173517
PNQZUDOVKI,15 13 16 25 20 3 14 21 10 8,0.18390455575896913 0.007943689574944734 0.30434693238120225 0.9626328292873338 0.54656912738489 -0.7198513075645561 0.1448552112541759 0.6225493737682457 -0.1860380437021305 -0.37300675595886124,3.5547491121366055
PQKECLRAZL,15 16 10 4 2 11 17 0 25 11,0.18261804179491903 0.29353351799353145 -0.20853275196852916 -0.6302087430596774 -0.840799622191204 -0.10886289759259249 0.3415694272318346 -0.9353646277235439 0.944437329622698 -0.08977261014584847,3.4727628064037437
RAUMZKGZHJ,17 0 20 12 25 10 6 25 7 9,0.33488947949392345 -0.9426049686029909 0.5589105562556405 -0.027554143900477168 0.9662058181067843 -0.2152137161193297 -0.5179659271017312 0.9923002727375902 -0.42463174051952257 -0.3021009895083928,3.9953959129206322
AWWJCEUSVT,0 22 22 9 2 4 20 18 21 19,-0.9310303911518669 0.7461297328394869 0.752385110043218 -0.2560236036258434 -0.7837181389853014 -0.6552532027636622 0.5873149419955326 0.425426489232849 0.6337898021168085 0.5119184105480397,4.425150466629319
CABFQLWZXS,2 0 1 5 16 11 22 25 23 18,-0.8265241903805078 -0.9607873562538232 -0.8664553338679155 -0.5487904647951201 0.2969844364146661 -0.0906141732820358 0.7415802122920261 0.9501758096756472 0.7965414184088755 0.38744469182613184,4.1170690147000215
PSHGNNIKUQ,15 18 7 6 13 13 8 10 20 16,0.20112208642285823 0.45497525667114 -0.4181560861814839 -0.5128496006241499 0.06552380091083232 0.0008453202262344028 -0.30788313599389916 -0.16436701855286473 0.5423826073679943 0.2601906315764324,3.1801925260247157
GVAQIVIQKD,6 21 0 16 8 21 8 16 10 3,-0.5161702553364229 0.6792199256052931 -0.9479944059644589 0.26395159893026765 -0.37252970966512944 0.645050210828886 -0.3364594233892182 0.231100479704069 -0.2166086235644309 -0.7096973945567655,3.9896517535974536
LMCTQPGNBW,11 12 2 19 16 15 6 13 1 22,-0.12994066928229353 -0.036472590675309835 -0.8215517375069286 0.46459155005740627 0.2316584293365529 0.224110280927311 -0.5244791430636084 0.04685125503443488 -0.8543985950617814 0.7163588440725974,3.4406710450899145
ZJPEDGTWTA,25 9 15 4 3 6 19 22 19 0,0.9751609636401715 -0.28801008933246597 0.1643569958714377 -0.6446481508852488 -0.7079783341874573 -0.46819293831501896 0.46671528896246706 0.7674409974592642 0.4805403991157393 -0.9358974868256831,4.2673587419910355
CJVPMSHQRL,2 9 21 15 12 18 7 16 17 11,-0.8201990684643252 -0.30761404529327896 0.6768347345068138 0.20699444634325692 -0.07308499172690452 0.4202353275742996 -0.4265520641495315 0.2763585993544806 0.3834476163569154 -0.11226223596098128,3.4811589031622394
LUXWXMJNKB,11 20 23 22 23 12 9 13 10 1,-0.12869084288582489 0.5811245084752135 0.815361730009792 0.7395841707052393 0.8317263458155355 -0.024546964926848602 -0.3004007744065398 0.06344235051481162 -0.2089453429200807 -0.8960610095496362,3.46786597822921
IQLHGRAZZN,8 16 11 7 6 17 0 25 25 13,-0.3685379893080418 0.2512349593495704 -0.12040166351019099 -0.44994964417789873 -0.5079627530046433 0.31819426937452966 -0.9919596893970548 0.9662460897148812 0.9759006555010326 0.04421459845102382,3.819889103499236
VKOAOEDKQU,21 10 14 0 14 4 3 10 16 20,0.6822575145885832 -0.1855994856256995 0.15291313296498288 -0.9485118803418557 0.10041948182760829 -0.6882268174648924 -0.7155121312518662 -0.2002831463079442 0.2979560613727932 0.5950854919472075,3.666841463916733
WZWPOVDPAO,22 25 22 15 14 21 3 15 0 14,0.7512635768481255 0.9737352166831048 0.6948236892561732 0.22790146275456524 0.099220000514181 0.6568617441380276 -0.7044339206446093 0.17970900419517566 -0.9514317403872299 0.13514677493643856,3.753309060547157
AMTTUAPQLT,0 12 19 19 20 0 15 16 11 19,-0.9674905341990208 -0.06236361416711378 0.5267335952904306 0.4909260571470111 0.613008152895782 -0.9686199019288511 0.16061210294973516 0.2316926188815127 -0.10389595006427887 0.5230530235769275,3.7763147969225774
DFNFSCRFQC,3 5 13 5 18 2 17 5 16 2,-0.722514147527803 -0.5939381005071016 0.03882176865915388 -0.5426172079841656 0.38561235626835644 -0.7863277138385398 0.32798085318506565 -0.5583510888392746 0.24729436308088504 -0.8071146613071187,4.041860904677996
PIVIJGRDEQ,15 8 21 8 9 6 17 3 4 16,0.1706127118409715 -0.3253542494925976 0.661207748133235 -0.37848297650571117 -0.24151127834947972 -0.5246231498364129 0.327233883768393 -0.747976769905282 -0.6885220217279775 0.29585131310430923,3.8201666111216643
IAFPKMCVIP,8 0 5 15 10 12 2 21 8 15,-0.3699378775432116 -0.9307523936237161 -0.5443110291638091 0.17927280986384142 -0.1725328973877367 -0.04722155928140048 -0.799666464353163 0.6510221300901979 -0.3175007523527924 0.17961454908593,3.55371938054671
GPZEJCUKED,6 15 25 4 9 2 20 10 4 3,-0.5289926598201902 0.16893866111418698 0.95283100888983 -0.6198212943878603 -0.30480126781057426 -0.8087596597007407 0.5997270666155836 -0.20106289346199513 -0.6725073377135047 -0.7506779861234292,4.142132897241407
RYQGTHFBZY,17 24 16 6 19 7 5 1 25 24,0.3085559722583602 0.9203626697614253 0.25594295980660187 -0.5233190736576707 0.5074191970356896 -0.4520820267569847 -0.5696259968229735 -0.8932734679122036 0.9891013173841605 0.9081307896449562,4.345146968279167
SWEFFMRPZA,18 22 4 5 5 12 17 15 25 0,0.4246655636845982 0.7347695032937116 -0.6474040389705755 -0.5891281879835812 -0.5884271026267327 -0.069594653865924 0.37175249227337326 0.21951747922274434 0.9641676875204028 -0.9453408439194442,4.143425667602962
WPATTUUQQH,22 15 0 19 19 20 20 16 16 7,0.727326055947634 0.21415901830630313 -0.954039783657723 0.5356041532042974 0.5043948892237569 0.588096838667693 0.54873881592552 0.25289369547893426 0.23447179488854153 -0.4420847808016195,4.091323851916332
BHZEIJLWHP,1 7 25 4 8 9 11 22 7 15,-0.8700109085275378 -0.43580309902461334 0.9324642167799666 -0.6248177428772663 -0.3662607071108741 -0.23088011964946253 -0.15213677523361402 0.736228381236516 -0.3891136302368996 0.22230902811417685,3.911080698377383
UVMAWEKLFY,20 21 12 0 22 4 10 11 5 24,0.5856148282269726 0.6539610475854136 -0.01954577576005101 -0.9462037732874162 0.7572357642109049 -0.6724490100106568 -0.1551056935767543 -0.13971699530560944 -0.5394409119560448 0.921490257531653,3.9323392123646497
CKKSRLKDWN,2 10 10 18 17 11 10 3 22 13,-0.7964153789629584 -0.19158895756032202 -0.15800395040225457 0.45525310797481056 0.3687765216205636 -0.12367194024006567 -0.1734418339659376 -0.7568470848465845 0.7139110838940088 0.06609789164634416,3.3405882963369007
TXJRLMBDFL,19 23 9 17 11 12 1 3 5 11,0.5300223713015555 0.843926170127564 -0.26249067809308935 0.31242504566710894 -0.1259054293740105 -0.06021179505059848 -0.9176189073873824 -0.7593223630120678 -0.562057916908983 -0.12098137092542371,3.611068915824831
NOLQJIXOUF,13 14 11 16 9 8 23 14 20 5,0.041515317536830576 0.097978326350189 -0.13221456290156497 0.2700524896818748 -0.27289644859448736 -0.31108888322913786 0.8062895243976445 0.09527552543446705 0.5874123031935898 -0.5749377495933166,3.127319619625166
JXVOQMKRFP,9 23 21 14 16 12 10 17 5 15,-0.2442330042642682 0.8357167785334918 0.6256279693014628 0.14206779867088803 0.29867257764220634 -0.05483081273866919 -0.20764192873524445 0.3178480919530613 -0.5393144100651428 0.1663157461056317,3.2616212646848877
CTPTULBFFL,2 19 15 19 20 11 1 5 5 11,-0.8419558939011142 0.5139295198271614 0.1606324692797214 0.5255109003727536 0.6052053591659494 -0.09872943029287895 -0.8560750650823257 -0.5606079099632344 -0.5761558101836841 -0.14256154719353886,3.9451235087259175
EKOGOGGMRK,4 10 14 6 14 6 6 12 17 10,-0.6712596648835278 -0.18434297011900758 0.11997049894684242 -0.4701661358224163 0.14764711508913209 -0.47109208064563823 -0.46200424974652377 -0.038823684224608135 0.36135228068708014 -0.15729421447401126,3.2046238311771877
BMRFBOTAPD,1 12 17 5 1 14 19 0 15 3,-0.918717103867849 -0.0057789341252456605 0.35765049227073864 -0.5536761982189784 -0.8494944994280742 0.0843602942559234 0.4969824854151439 -0.9608725162146234 0.18143512126721495 -0.7139221457425815,3.804246019360438
AXVMRHDOKZ,0 23 21 12 17 7 3 14 10 25,-0.969218637622421 0.7874147085910868 0.6170805194816869 -0.05549762008242154 0.34892822277142566 -0.39055163266705484 -0.7116591336486582 0.15046242879783156 -0.17468563879719845 0.9329069075053993,3.7999056497076578
EEIYWLIATR,4 4 8 24 22 11 8 0 19 17,-0.6720523520708765 -0.6860675148250661 -0.33498876152309287 0.9060125057801995 0.7062121026726509 -0.14697720859414032 -0.33733188771964673 -0.9836633130316053 0.5242720599187685 0.37602296314222294,4.192745626641798
BZZYVPQLGV,1 25 25 24 21 15 16 11 6 21,-0.9079203647723819 0.9894621092457523 0.9337248554248039 0.9042169239513937 0.6352094804221962 0.1803550224864925 0.27936220028059555 -0.12234405524402492 -0.5053292014120421 0.6601915609076034,4.0207148584039345
SOESBGMWXH,18 14 4 18 1 6 12 22 23 7,0.4265333806664042 0.10396519852856012 -0.6586382381990656 0.3902945208089452 -0.8848919542224187 -0.4891613258254477 -0.04331233071632368 0.7651355565439331 0.8223002590751278 -0.4033555984066437,3.960433929731867
ECBNXXRYLP,4 2 1 13 23 23 17 24 11 15,-0.6667899032323283 -0.7946808294543679 -0.8909488123270202 0.015188329201070383 0.7823117626476792 0.8327589109464499 0.3440970590486754 0.9104212950478776 -0.1143746290208465 0.1811880529637333,3.6925259561900607
GWRCIQUGMA,6 22 17 2 8 16 20 6 12 0,-0.5274481641815232 0.727743361872002 0.34768109931501656 -0.8214723932430468 -0.31160623566634915 0.2734843690563211 0.5479910183839678 -0.49918287693355556 -0.01760938427772274 -0.9453908363770658,4.0292683965866125
BFELNNESNQ,1 5 4 11 13 13 4 18 13 16,-0.9093941137089343 -0.5813415767657313 -0.6885688223633573 -0.11634537060354111 0.006074058997443288 0.030490926980779376 -0.6529370509849881 0.3977700301402789 0.06530712818666284 0.2712718614524432,3.364744987335634
OLUFRRHYIY,14 11 20 5 17 17 7 24 8 24,0.09738834410084074 -0.10948271647656882 0.5729637688860525 -0.5563364442282865 0.355712772307226 0.3415788540755378 -0.3956939453151924 0.8942513560001708 -0.38202548577730555 0.8904495107606467,3.854382146756198
RISYGKVTTJ,17 8 18 24 6 10 21 19 19 9,0.3767566917559475 -0.3773783984447028 0.4171566298892233 0.9104805965393068 -0.500173401675613 -0.23072623769761869 0.6749025164445581 0.5144774302551898 0.4794259566400827 -0.2455586136793695,4.035678329275669
EHRCJTBUSE,4 7 17 2 9 19 1 20 18 4,-0.6243986204277956 -0.421581946405839 0.3263251825582618 -0.8412733389235072 -0.29689799122404303 0.4834704938154546 -0.8740595443449717 0.5896056535182241 0.45452037302287307 -0.6693946196753817,4.2958502961832
OAFCXAQNJH,14 0 5 2 23 0 16 13 9 7,0.14105126381611677 -0.9969184657798462 -0.5933757591729769 -0.7759916194715797 0.8395518427251047 -0.9389994907777268 0.23324691298418765 0.05343931769003074 -0.28642939779290666 -0.40559215784479274,3.781492374528924
ZDPSXIRXAC,25 3 15 18 23 8 17 23 0 2,0.9432865122716576 -0.7190257861686864 0.2060949704421986 0.39129536562366574 0.77152131913852 -0.3215679969862797 0.35842088619434254 0.8175827473445509 -0.9957917509609999 -0.8387523523844702,4.171039943963198
HCAEGMNOVS,7 2 0 4 6 12 13 14 21 18,-0.4101662072770276 -0.8390297324177995 -0.9703228288927375 -0.6682495889907967 -0.4621706142666604 -0.01913204216004316 0.0006638751038083868 0.08527001533481071 0.6240421369845148 0.4054260804185936,3.7518039771426435
